timestamp,web1_mbps,web2_mbps,active_server,action
08:00:00,51.1,3.2,WEB1,HOLD
08:00:02,54.8,5.0,WEB1,HOLD
08:00:04,65.0,9.1,WEB1,HOLD
08:00:06,72.5,3.8,WEB1,HOLD
08:00:08,74.8,3.3,WEB1,HOLD
08:00:10,78.8,7.5,WEB1,HOLD
08:00:12,82.5,4.8,WEB2,SWITCH→WEB2 (load=82%>80%)
08:00:14,25.8,75.4,WEB2,HOLD
08:00:16,26.7,73.6,WEB2,HOLD
08:00:18,27.0,70.8,WEB2,HOLD
08:00:20,27.4,73.3,WEB2,HOLD
08:00:22,27.4,75.0,WEB2,HOLD
08:00:24,27.4,68.6,WEB2,HOLD
08:00:26,27.4,75.0,WEB2,HOLD
08:00:28,27.4,74.1,WEB2,HOLD
08:00:30,27.4,71.3,WEB2,HOLD
08:00:32,27.4,69.8,WEB2,HOLD
08:00:34,27.4,76.2,WEB2,HOLD
08:00:36,26.4,72.3,WEB2,HOLD
08:00:38,24.8,72.0,WEB2,HOLD
08:00:40,23.5,73.3,WEB2,HOLD
08:00:42,23.7,79.0,WEB2,HOLD
08:00:44,21.6,79.2,WEB2,HOLD
08:00:46,20.4,82.0,WEB2,HOLD
08:00:48,18.5,83.3,WEB2,HOLD
08:00:50,16.3,84.0,WEB2,HOLD
08:00:52,15.4,88.4,WEB2,HOLD
08:00:54,12.2,86.8,WEB2,HOLD
08:00:56,10.8,89.6,WEB2,HOLD
08:00:58,9.6,93.0,WEB2,HOLD
08:01:00,7.5,93.5,WEB2,HOLD
08:01:02,6.4,95.0,WEB2,HOLD
08:01:04,4.3,95.0,WEB1,SWITCH→WEB1 (load=15%<20%)
08:01:06,11.5,3.4,WEB1,HOLD
08:01:08,3.5,5.6,WEB1,HOLD
08:01:10,2.0,5.1,WEB1,HOLD
08:01:12,2.0,5.5,WEB1,HOLD
08:01:14,2.0,6.3,WEB1,HOLD
08:01:16,2.0,4.9,WEB1,HOLD
08:01:18,2.0,11.4,WEB1,HOLD
08:01:20,2.0,8.5,WEB1,HOLD
08:01:22,2.0,9.6,WEB1,HOLD
08:01:24,2.0,6.4,WEB1,HOLD
08:01:26,4.3,8.8,WEB1,HOLD
08:01:28,4.1,9.2,WEB1,HOLD
08:01:30,10.2,10.0,WEB1,HOLD
08:01:32,9.8,3.3,WEB1,HOLD
08:01:34,15.5,5.4,WEB1,HOLD
08:01:36,20.2,11.5,WEB1,HOLD
08:01:38,31.4,5.8,WEB1,HOLD
08:01:40,35.9,6.6,WEB1,HOLD
08:01:42,44.4,7.1,WEB1,HOLD
08:01:44,45.7,5.2,WEB1,HOLD
08:01:46,54.7,5.4,WEB1,HOLD
08:01:48,61.4,11.1,WEB1,HOLD
08:01:50,66.3,5.0,WEB1,HOLD
08:01:52,77.2,7.6,WEB1,HOLD
08:01:54,75.8,3.4,WEB1,HOLD
08:01:56,81.3,8.6,WEB2,SWITCH→WEB2 (load=81%>80%)
08:01:58,25.7,76.7,WEB2,HOLD
08:02:00,26.0,73.3,WEB2,HOLD
08:02:02,26.3,70.2,WEB2,HOLD
08:02:04,27.4,71.6,WEB2,HOLD
08:02:06,27.4,76.5,WEB2,HOLD
08:02:08,27.4,72.8,WEB2,HOLD
08:02:10,27.4,76.3,WEB2,HOLD
08:02:12,27.4,75.4,WEB2,HOLD
08:02:14,27.4,68.7,WEB2,HOLD
08:02:16,27.4,74.3,WEB2,HOLD
08:02:18,27.4,74.0,WEB2,HOLD
08:02:20,27.2,73.1,WEB2,HOLD
08:02:22,25.6,72.5,WEB2,HOLD
08:02:24,25.2,75.9,WEB2,HOLD
08:02:26,22.6,74.3,WEB2,HOLD
08:02:28,21.8,77.6,WEB2,HOLD
08:02:30,20.2,79.4,WEB2,HOLD
08:02:32,19.6,84.0,WEB2,HOLD
08:02:34,17.7,85.3,WEB2,HOLD
08:02:36,14.5,83.6,WEB2,HOLD
08:02:38,13.2,86.9,WEB2,HOLD
